month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,O3_target
7.0,28.0,0.0,73.35,57.54,22.99,7.68,-3.46,1.28,1.02,5.03
7.0,28.0,1.0,82.77,57.25,23.9,7.7,-1.35,0.29,0.99,5.08
7.0,28.0,2.0,92.19,56.97,23.89,7.72,0.76,-0.7,0.96,6.95
7.0,28.0,3.0,101.62,56.68,23.92,7.74,2.87,-1.69,0.93,5.8
7.0,28.0,4.0,113.51,64.06,25.55,7.81,2.45,-1.15,0.66,7.22
7.0,28.0,5.0,125.41,71.44,26.54,7.88,2.03,-0.61,0.39,9.88
7.0,28.0,6.0,137.3,78.83,29.45,7.95,1.6,-0.07,0.13,12.53
7.0,28.0,7.0,134.39,85.4,28.98,7.86,0.9,0.44,0.17,16.88
7.0,28.0,8.0,131.48,91.97,29.62,7.78,0.19,0.96,0.21,18.77
7.0,28.0,9.0,128.57,98.54,29.04,7.69,-0.52,1.47,0.25,30.02
7.0,28.0,10.0,114.03,78.39,30.81,7.64,0.27,0.59,0.43,17.07
7.0,28.0,11.0,99.49,58.24,31.27,7.59,1.05,-0.29,0.61,12.58
7.0,28.0,12.0,84.95,38.09,32.34,7.54,1.84,-1.17,0.79,11.17
7.0,28.0,13.0,86.94,36.03,32.31,7.4,1.94,-1.39,0.94,7.4
7.0,28.0,14.0,88.93,33.97,25.62,7.26,2.05,-1.62,1.1,6.35
7.0,28.0,15.0,90.92,31.91,29.88,7.12,2.15,-1.85,1.25,4.03
7.0,28.0,16.0,94.72,37.47,28.41,7.11,2.67,-2.19,0.82,3.7
7.0,28.0,17.0,98.52,43.02,29.18,7.1,3.18,-2.53,0.39,3.53
7.0,28.0,18.0,102.32,48.57,28.27,7.09,3.7,-2.87,-0.04,4.8
7.0,28.0,19.0,94.58,48.37,26.29,6.97,4.06,-2.45,0.42,4.95
7.0,28.0,20.0,86.84,48.17,27.09,6.85,4.43,-2.03,0.87,4.0
7.0,28.0,21.0,79.1,47.96,29.61,6.73,4.8,-1.61,1.32,8.57
7.0,28.0,22.0,77.48,63.93,27.46,6.7,3.61,-1.47,1.0,4.98
7.0,28.0,23.0,75.85,79.89,27.34,6.68,2.41,-1.33,0.67,3.88
5.0,23.0,0.0,34.13,14.34,9.6,16.12,2.99,0.53,-0.84,54.48
5.0,23.0,1.0,35.41,14.45,10.43,15.86,2.98,0.7,-0.72,39.33
5.0,23.0,2.0,36.7,14.57,10.19,15.6,2.98,0.88,-0.59,39.67
5.0,23.0,3.0,37.98,14.69,8.04,15.33,2.97,1.05,-0.47,46.92
5.0,23.0,4.0,31.84,21.11,8.96,15.91,2.67,0.94,-0.41,55.25
5.0,23.0,5.0,25.7,27.54,7.64,16.49,2.36,0.82,-0.35,70.65
5.0,23.0,15.0,0.62,68.3,8.47,17.72,1.68,0.73,0.91,72.45
5.0,23.0,16.0,3.95,76.29,8.4,17.9,1.23,0.75,0.54,56.62
5.0,23.0,17.0,7.28,84.28,11.04,18.09,0.78,0.77,0.17,40.55
5.0,23.0,18.0,10.61,92.27,12.29,18.28,0.33,0.79,-0.21,39.97
5.0,23.0,19.0,7.79,95.0,10.29,18.3,0.47,0.67,-0.37,34.03
5.0,23.0,20.0,4.96,97.74,9.77,18.32,0.62,0.55,-0.52,41.15
5.0,23.0,21.0,2.14,100.48,5.95,18.34,0.77,0.43,-0.68,68.2
5.0,23.0,22.0,5.96,83.39,7.35,17.65,1.23,0.49,-0.58,59.9
5.0,23.0,23.0,9.78,66.3,6.96,16.96,1.68,0.56,-0.48,53.92
7.0,24.0,0.0,58.23,57.51,14.41,8.09,1.87,-1.27,1.51,5.3
7.0,24.0,1.0,55.06,54.31,13.53,8.31,1.78,-1.19,1.49,6.5
7.0,24.0,2.0,51.89,51.1,13.64,8.53,1.69,-1.12,1.47,5.03
7.0,24.0,3.0,48.73,47.89,13.52,8.74,1.61,-1.04,1.45,4.47
7.0,24.0,4.0,49.84,57.87,11.16,8.66,1.7,-0.93,1.2,8.22
7.0,24.0,5.0,50.95,67.85,10.07,8.58,1.79,-0.82,0.95,15.62
7.0,24.0,6.0,52.06,77.83,9.31,8.5,1.88,-0.7,0.7,13.9
7.0,24.0,7.0,55.49,72.03,7.33,8.38,1.67,-0.98,0.86,12.75
7.0,24.0,8.0,58.92,66.23,9.13,8.26,1.46,-1.26,1.02,12.45
7.0,24.0,9.0,62.34,60.43,11.54,8.14,1.24,-1.54,1.18,9.83
7.0,24.0,10.0,68.76,56.65,13.07,7.94,1.37,-1.29,1.19,17.07
7.0,24.0,11.0,75.18,52.86,12.59,7.75,1.49,-1.04,1.21,15.35
7.0,24.0,12.0,81.6,49.08,12.9,7.56,1.62,-0.8,1.23,13.15
7.0,24.0,13.0,81.5,46.54,14.65,7.47,1.57,-0.64,0.76,12.3
7.0,24.0,14.0,81.39,43.99,13.59,7.38,1.52,-0.48,0.28,9.5
7.0,24.0,15.0,81.29,41.45,11.28,7.3,1.47,-0.32,-0.19,7.1
7.0,24.0,16.0,81.3,40.64,9.67,7.26,1.19,-0.85,0.18,5.93
7.0,24.0,17.0,81.31,39.83,9.29,7.22,0.91,-1.38,0.55,3.8
7.0,24.0,18.0,81.33,39.02,8.86,7.19,0.63,-1.91,0.92,4.12
7.0,24.0,19.0,77.86,53.67,9.3,7.13,0.74,-1.33,0.83,8.15
7.0,24.0,20.0,74.38,68.31,13.18,7.07,0.85,-0.76,0.75,11.0
7.0,24.0,21.0,70.91,82.96,13.56,7.02,0.96,-0.19,0.67,17.17
7.0,24.0,22.0,81.75,84.22,12.73,7.1,0.86,-0.07,0.54,14.55
7.0,24.0,23.0,92.59,85.49,17.2,7.19,0.75,0.06,0.41,10.05
11.0,5.0,0.0,4.22,89.01,17.21,8.76,2.23,0.15,-0.12,13.15
11.0,5.0,1.0,11.65,78.45,17.04,8.83,2.28,-0.25,-0.14,14.35
11.0,5.0,2.0,19.08,67.89,18.1,8.9,2.32,-0.65,-0.15,11.95
11.0,5.0,3.0,26.51,57.33,18.03,8.97,2.36,-1.06,-0.16,21.0
11.0,5.0,4.0,17.67,86.12,18.68,8.26,2.39,-1.03,-0.14,43.85
11.0,5.0,5.0,8.84,114.92,17.9,7.54,2.41,-1.0,-0.11,64.13
11.0,5.0,6.0,0.0,143.71,16.53,6.83,2.44,-0.97,-0.09,75.38
11.0,5.0,9.0,70.91,18.79,14.87,6.45,0.33,1.96,-0.37,77.83
11.0,5.0,10.0,67.06,20.52,14.87,6.46,-0.32,1.97,0.21,78.65
11.0,5.0,11.0,63.21,22.24,14.59,6.46,-0.97,1.98,0.8,59.27
11.0,5.0,12.0,59.36,23.96,16.08,6.47,-1.61,1.99,1.38,43.38
11.0,5.0,13.0,40.72,35.86,14.87,6.6,-1.03,1.68,1.12,7.28
11.0,5.0,14.0,22.08,47.77,13.67,6.72,-0.45,1.36,0.85,5.9
11.0,5.0,15.0,3.44,59.67,12.35,6.84,0.13,1.05,0.59,6.4
11.0,5.0,16.0,5.34,59.57,10.79,6.96,-0.4,0.12,0.32,7.3
11.0,5.0,17.0,7.24,59.47,11.87,7.07,-0.93,-0.8,0.06,7.53
11.0,5.0,18.0,9.14,59.37,12.55,7.19,-1.45,-1.73,-0.2,8.05
11.0,5.0,19.0,6.11,80.13,12.5,7.19,-0.22,-1.32,0.82,8.0
11.0,5.0,20.0,3.08,100.9,11.56,7.2,1.02,-0.9,1.84,8.7
11.0,5.0,21.0,0.06,121.67,11.4,7.21,2.26,-0.49,2.86,8.23
11.0,5.0,22.0,2.75,123.38,9.49,7.32,2.3,-0.55,2.09,7.55
11.0,5.0,23.0,5.44,125.1,12.29,7.43,2.34,-0.61,1.31,6.6
8.0,23.0,0.0,37.4,44.51,10.82,19.43,-1.34,0.95,0.28,4.38
8.0,23.0,1.0,42.47,40.46,12.56,19.3,-1.05,0.34,-0.03,4.12
8.0,23.0,2.0,47.54,36.4,10.68,19.17,-0.75,-0.26,-0.34,3.6
8.0,23.0,3.0,52.6,32.35,10.86,19.04,-0.46,-0.87,-0.65,3.42
8.0,23.0,4.0,35.07,48.0,10.3,19.38,0.35,-0.68,-0.97,3.5
8.0,23.0,5.0,17.54,63.64,9.92,19.72,1.17,-0.49,-1.3,3.25
